municipality_name,year,avg_gross_salary,avg_net_salary,permits_per_1000,median_price_m2,mean_price_m2,transaction_count,median_area_m2,hpi_total
Ajdovščina,2023,2100.26,1388.4,6.9,1378.48,1541.43,42.0,86.95,197.97125000000003
Ajdovščina,2024,2252.87,1453.57,4.9,1363.63,1452.17,37.0,86.3,208.204375
Ankaran,2023,2273.32,1480.9,,3322.15,3366.49,25.0,56.8,197.97125000000003
Ankaran,2024,2404.82,1527.62,,3632.96,3570.85,15.0,71.6,208.204375
Apače,2023,1860.77,1254.96,12.1,745.1,931.02,11.0,101.0,197.97125000000003
Apače,2024,1989.01,1306.95,10.1,961.63,1028.05,4.0,94.7,208.204375
Beltinci,2023,1918.56,1284.85,5.7,424.53,558.43,11.0,172.8,197.97125000000003
Beltinci,2024,2105.19,1364.15,6.0,309.68,592.59,3.0,202.0,208.204375
Benedikt,2023,1810.33,1219.24,6.6,1407.76,1374.32,12.0,71.0,197.97125000000003
Benedikt,2024,1911.07,1250.42,10.5,1552.8,1434.46,3.0,60.2,208.204375
Bistrica ob Sotli,2023,2014.95,1334.74,5.2,212.16,212.16,2.0,259.5,197.97125000000003
Bistrica ob Sotli,2024,2090.83,1346.02,6.0,541.69,541.69,2.0,103.3,208.204375
Bled,2023,2131.14,1397.78,1.4,2777.78,2994.22,39.0,58.0,197.97125000000003
Bled,2024,2268.88,1455.92,2.5,2850.88,2761.99,21.0,101.6,208.204375
Bloke,2023,1861.02,1249.6,6.4,777.78,777.78,1.0,90.0,197.97125000000003
Bloke,2024,1986.75,1302.75,8.3,1446.98,1446.98,2.0,103.3,208.204375
Bohinj,2023,1835.02,1232.84,2.3,2333.33,2544.04,9.0,137.0,197.97125000000003
Bohinj,2024,1958.39,1281.91,6.3,2339.18,2597.53,20.0,67.5,208.204375
Borovnica,2023,2029.56,1323.15,1.7,4761.88,4761.88,2.0,86.15,197.97125000000003
Borovnica,2024,2163.24,1376.45,0.8,2713.18,2729.47,3.0,56.8,208.204375
Bovec,2023,1943.26,1293.25,2.3,2133.2,2318.7,22.0,81.0,197.97125000000003
Bovec,2024,2079.62,1353.64,3.6,2025.59,1828.91,13.0,57.0,208.204375
Braslovče,2023,1932.91,1291.96,3.6,1765.42,1620.09,29.0,93.0,197.97125000000003
Braslovče,2024,2091.24,1360.09,5.8,1893.1,1756.98,11.0,76.7,208.204375
Brda,2023,1964.44,1308.15,3.9,812.28,822.05,4.0,137.0,197.97125000000003
Brda,2024,2066.68,1340.99,4.3,974.05,1076.34,8.0,113.9,208.204375
Brezovica,2023,1992.47,1314.97,4.2,1760.0,1972.42,23.0,120.0,197.97125000000003
Brezovica,2024,2182.93,1400.52,2.4,2620.65,2505.15,26.0,111.6,208.204375
Brežice,2023,2065.22,1357.74,2.3,1005.68,986.13,50.0,91.5,197.97125000000003
Brežice,2024,2189.02,1402.13,3.0,1204.82,1168.6,41.0,80.5,208.204375
Cankova,2023,1918.26,1279.18,5.1,79.37,79.37,1.0,252.0,197.97125000000003
Cankova,2024,1992.55,1298.9,5.1,1371.12,1371.12,1.0,164.1,208.204375
Celje,2023,2160.83,1415.54,1.0,1790.25,1720.11,304.0,59.0,197.97125000000003
Celje,2024,2297.61,1475.09,0.6,1914.8,1878.5,238.0,63.7,208.204375
Cerklje na Gorenjskem,2023,2583.1,1648.88,4.0,1419.75,1830.46,12.0,106.5,197.97125000000003
Cerklje na Gorenjskem,2024,2640.72,1657.49,3.6,2668.91,2792.98,18.0,80.65,208.204375
Cerknica,2023,1852.01,1241.57,4.6,1724.76,1548.32,14.0,63.5,197.97125000000003
Cerknica,2024,1967.44,1288.88,3.8,1712.23,1633.7,16.0,66.7,208.204375
Cerkno,2023,1765.65,1192.8,4.0,859.38,829.18,9.0,59.0,197.97125000000003
Cerkno,2024,1854.51,1219.91,3.6,530.04,580.36,3.0,220.3,208.204375
Cerkvenjak,2023,1777.22,1193.56,7.7,601.22,617.97,3.0,149.0,197.97125000000003
Cerkvenjak,2024,1968.17,1287.39,9.8,954.4,1062.3,4.0,91.7,208.204375
Cirkulane,2023,1987.06,1294.76,2.5,600.0,698.54,17.0,60.0,197.97125000000003
Cirkulane,2024,2154.11,1372.91,6.7,623.05,659.15,11.0,64.2,208.204375
Destrnik,2023,1753.36,1177.0,4.1,786.28,917.79,6.0,69.45,197.97125000000003
Destrnik,2024,1931.2,1260.42,7.7,753.88,1004.13,3.0,90.2,208.204375
Divača,2023,2073.54,1371.67,2.5,1418.51,1538.12,18.0,82.8,197.97125000000003
Divača,2024,2172.23,1396.57,1.8,1275.55,1516.7,10.0,161.8,208.204375
Dobje,2023,2058.03,1354.22,5.1,,,,,197.97125000000003
Dobje,2024,2117.99,1361.21,2.1,310.08,310.08,1.0,64.5,208.204375
Dobrepolje,2023,1820.04,1224.07,4.0,1323.81,937.38,3.0,163.0,197.97125000000003
Dobrepolje,2024,1916.57,1251.76,0.8,1650.84,1510.28,4.0,130.75,208.204375
Dobrna,2023,1977.77,1315.27,2.6,1375.0,1271.44,9.0,89.0,197.97125000000003
Dobrna,2024,2126.06,1376.03,2.6,824.5,824.5,1.0,254.7,208.204375
Dobrova - Polhov Gradec,2023,1950.13,1304.28,2.4,,,,,197.97125000000003
Dobrova - Polhov Gradec,2024,2070.48,1346.57,2.0,,,,,208.204375
Dobrovnik/Dobronak,2023,1977.9,1322.15,7.1,,,,,197.97125000000003
Dobrovnik/Dobronak,2024,2011.75,1310.43,3.2,,,,,208.204375
Dol pri Ljubljani,2023,2336.31,1524.26,3.8,2667.27,2819.3,12.0,66.75,197.97125000000003
Dol pri Ljubljani,2024,2617.88,1673.1,3.9,2035.39,1820.35,4.0,124.44999999999999,208.204375
Dolenjske Toplice,2023,2029.57,1355.15,9.7,996.74,1120.67,12.0,79.75,197.97125000000003
Dolenjske Toplice,2024,2125.82,1386.19,18.4,1208.88,1326.74,8.0,74.80000000000001,208.204375
Domžale,2023,2041.69,1354.11,1.9,2500.0,2471.83,135.0,73.0,197.97125000000003
Domžale,2024,2163.52,1400.7,2.2,2643.68,2604.46,103.0,75.6,208.204375
Dornava,2023,2129.2,1407.73,4.1,460.52,536.34,4.0,132.0,197.97125000000003
Dornava,2024,2202.3,1422.93,9.6,742.41,742.41,2.0,52.2,208.204375
Dravograd,2023,1998.73,1319.34,4.0,903.65,916.23,22.0,82.0,197.97125000000003
Dravograd,2024,2082.33,1338.87,3.6,1369.47,1277.2,12.0,70.3,208.204375
Duplek,2023,1809.73,1216.96,2.1,907.28,910.21,16.0,146.0,197.97125000000003
Duplek,2024,1947.99,1276.07,3.1,1036.79,1158.47,15.0,167.7,208.204375
Gorenja vas - Poljane,2023,2105.87,1395.09,2.6,,,,,197.97125000000003
Gorenja vas - Poljane,2024,2233.66,1442.17,1.7,,,,,208.204375
Gorišnica,2023,1803.43,1198.81,1.4,857.84,869.54,4.0,110.15,197.97125000000003
Gorišnica,2024,1888.64,1225.59,7.9,1183.63,1183.63,1.0,427.5,208.204375
Gorje,2023,2007.13,1336.44,1.4,1506.85,2123.84,5.0,73.0,197.97125000000003
Gorje,2024,2113.76,1373.35,2.9,1776.78,2131.84,8.0,128.15,208.204375
Gornja Radgona,2023,2044.1,1349.28,9.9,1053.33,987.51,41.0,74.0,197.97125000000003
Gornja Radgona,2024,2127.41,1372.27,10.1,858.5,1027.41,14.0,101.2,208.204375
Gornji Grad,2023,1753.27,1189.36,2.3,382.85,434.77,11.0,189.7,197.97125000000003
Gornji Grad,2024,1835.78,1215.84,2.7,1020.75,860.53,4.0,155.05,208.204375
Gornji Petrovci,2023,1665.25,1128.53,2.5,454.55,791.23,3.0,73.0,197.97125000000003
Gornji Petrovci,2024,1962.8,1283.59,8.0,198.9,198.9,2.0,224.2,208.204375
Grad,2023,1844.7,1238.83,7.5,334.29,334.29,2.0,94.0,197.97125000000003
Grad,2024,2036.72,1328.9,3.5,,,,,208.204375
Grosuplje,2023,2075.53,1368.61,2.4,2612.96,2491.16,66.0,78.6,197.97125000000003
Grosuplje,2024,2209.13,1420.02,2.1,3160.07,2820.15,53.0,75.1,208.204375
Hajdina,2023,1898.67,1230.97,6.3,897.01,1008.53,9.0,146.0,197.97125000000003
Hajdina,2024,2085.49,1314.86,5.0,1953.06,1788.14,4.0,86.35,208.204375
Hodoš/Hodos,2023,1534.93,1049.96,0.0,,,,,197.97125000000003
Hodoš/Hodos,2024,1657.28,1097.04,8.7,,,,,208.204375
Horjul,2023,2402.91,1573.4,3.0,1510.22,1510.22,2.0,169.65,197.97125000000003
Horjul,2024,2515.45,1623.77,0.3,,,,,208.204375
Hoče - Slivnica,2023,2201.98,1434.82,7.8,,,,,197.97125000000003
Hoče - Slivnica,2024,2457.93,1557.56,4.8,,,,,208.204375
Hrastnik,2023,2131.32,1402.49,1.0,875.16,891.02,44.0,60.0,197.97125000000003
Hrastnik,2024,2251.51,1444.59,0.5,1111.0,1066.78,6.0,63.3,208.204375
Hrpelje - Kozina,2023,1839.89,1228.5,5.4,,,,,197.97125000000003
Hrpelje - Kozina,2024,1959.84,1275.14,4.2,,,,,208.204375
Idrija,2023,2299.23,1497.27,1.5,1048.39,1042.53,43.0,68.0,197.97125000000003
Idrija,2024,2455.38,1569.77,2.6,1465.52,1224.25,5.0,43.5,208.204375
Ig,2023,2017.8,1340.21,3.4,1666.67,2172.63,17.0,130.0,197.97125000000003
Ig,2024,2116.67,1373.02,3.3,2653.63,2497.29,19.0,77.9,208.204375
Ilirska Bistrica,2023,2045.42,1354.59,3.1,943.4,935.01,39.0,65.0,197.97125000000003
Ilirska Bistrica,2024,2163.07,1396.93,2.9,1250.0,1217.36,25.0,69.7,208.204375
Ivančna Gorica,2023,2067.77,1358.08,4.4,2160.0,2104.71,35.0,78.0,197.97125000000003
Ivančna Gorica,2024,2108.29,1353.69,2.4,2051.28,1922.61,33.0,72.9,208.204375
Izola/Isola,2023,2125.04,1391.35,1.1,,,,,197.97125000000003
Izola/Isola,2024,2239.12,1430.62,0.6,,,,,208.204375
Jesenice,2023,2266.42,1475.86,0.7,1812.04,1742.87,98.0,61.0,197.97125000000003
Jesenice,2024,2435.35,1549.5,0.9,2083.33,2002.48,83.0,57.8,208.204375
Jezersko,2023,1889.86,1251.33,1.5,1976.08,1976.08,2.0,117.5,197.97125000000003
Jezersko,2024,1990.58,1283.62,12.0,3185.6,2830.55,3.0,72.2,208.204375
Juršinci,2023,1926.8,1283.95,5.3,628.88,615.4,6.0,60.5,197.97125000000003
Juršinci,2024,2074.45,1352.98,9.9,462.96,624.53,3.0,115.5,208.204375
Kamnik,2023,2002.67,1321.32,1.6,2278.95,2149.7,92.0,62.95,197.97125000000003
Kamnik,2024,2150.84,1382.77,1.6,2543.72,2392.49,69.0,71.6,208.204375
Kanal,2023,2174.16,1439.45,0.8,926.25,947.78,10.0,71.0,197.97125000000003
Kanal,2024,2341.5,1508.96,1.4,618.4,694.1,12.0,117.3,208.204375
Kidričevo,2023,2036.05,1349.61,3.0,956.04,1103.91,14.0,91.5,197.97125000000003
Kidričevo,2024,2173.44,1406.99,6.5,1365.7,1352.31,12.0,96.2,208.204375
Kobarid,2023,2015.62,1341.7,1.2,833.71,972.61,12.0,118.4,197.97125000000003
Kobarid,2024,2105.86,1368.26,6.4,971.7,962.95,12.0,127.15,208.204375
Kobilje,2023,2017.01,1360.68,1.9,594.26,594.26,1.0,46.0,197.97125000000003
Kobilje,2024,2064.45,1354.98,0.0,125.0,125.0,1.0,56.0,208.204375
Komen,2023,1860.65,1250.58,2.8,1275.17,1532.08,3.0,61.0,197.97125000000003
Komen,2024,1993.25,1303.57,2.0,1368.42,1408.78,9.0,134.5,208.204375
Komenda,2023,2334.36,1516.31,4.3,2213.23,2166.55,10.0,120.7,197.97125000000003
Komenda,2024,2480.66,1576.23,4.2,2507.84,2308.34,17.0,143.2,208.204375
Koper/Capodistria,2023,2299.12,1499.75,2.5,,,,,197.97125000000003
Koper/Capodistria,2024,2436.5,1556.24,1.8,,,,,208.204375
Kostanjevica na Krki,2023,1814.63,1223.67,3.2,626.87,626.87,1.0,134.0,197.97125000000003
Kostanjevica na Krki,2024,1919.74,1257.22,2.0,967.74,901.53,3.0,153.3,208.204375
Kostel,2023,1963.94,1295.56,9.7,590.6,590.6,2.0,95.4,197.97125000000003
Kostel,2024,1990.99,1284.97,8.1,447.14,598.52,4.0,72.85,208.204375
Kozje,2023,1775.61,1188.05,5.0,929.82,866.21,7.0,57.0,197.97125000000003
Kozje,2024,1968.2,1276.57,6.4,900.63,861.93,4.0,62.65,208.204375
Kočevje,2023,1994.67,1325.62,4.7,1162.29,1148.47,56.0,58.5,197.97125000000003
Kočevje,2024,2124.63,1375.83,2.9,1397.73,1283.12,38.0,62.2,208.204375
Kranj,2023,2252.14,1470.83,1.0,2537.98,2436.98,254.0,61.0,197.97125000000003
Kranj,2024,2395.9,1527.75,1.5,2528.09,2411.45,215.0,67.6,208.204375
Kranjska Gora,2023,2035.98,1349.24,3.1,2915.46,2855.42,34.0,63.0,197.97125000000003
Kranjska Gora,2024,2112.36,1370.73,2.9,3427.46,3615.24,24.0,61.25,208.204375
Križevci,2023,2210.01,1437.13,4.8,899.28,972.75,3.0,131.0,197.97125000000003
Križevci,2024,2341.02,1489.52,4.8,869.94,843.22,3.0,116.1,208.204375
Krško,2023,2314.58,1506.88,2.6,1061.38,1088.62,64.0,74.5,197.97125000000003
Krško,2024,2468.34,1568.64,1.9,883.14,1013.82,42.0,79.65,208.204375
Kungota,2023,1790.17,1199.22,2.8,1085.37,1172.34,21.0,94.7,197.97125000000003
Kungota,2024,1910.61,1243.7,1.8,1026.12,1206.64,14.0,125.75,208.204375
Kuzma,2023,1607.34,1100.95,5.5,,,,,197.97125000000003
Kuzma,2024,1682.15,1118.84,7.3,,,,,208.204375
Laško,2023,1892.61,1265.39,2.3,1115.42,1167.36,26.0,67.0,197.97125000000003
Laško,2024,2024.02,1317.38,2.6,1107.66,1160.37,32.0,57.9,208.204375
Lenart,2023,1859.62,1245.1,7.3,1455.66,1400.72,38.0,74.5,197.97125000000003
Lenart,2024,1973.62,1284.28,8.3,1557.63,1553.66,35.0,63.5,208.204375
Lendava/Lendva,2023,2025.29,1335.02,3.1,,,,,197.97125000000003
Lendava/Lendva,2024,2269.32,1456.91,3.8,,,,,208.204375
Litija,2023,1916.29,1280.63,3.4,1811.98,1768.03,46.0,65.0,197.97125000000003
Litija,2024,2035.56,1323.42,1.8,1853.2,1824.26,56.0,61.6,208.204375
Ljubljana,2023,2591.29,1658.63,0.6,3333.33,3309.92,1375.0,62.9,197.97125000000003
Ljubljana,2024,2734.77,1716.0,0.7,3761.47,3750.36,1051.0,63.1,208.204375
Ljubno,2023,2100.75,1386.67,5.1,530.49,530.49,1.0,164.0,197.97125000000003
Ljubno,2024,2185.74,1414.31,3.2,,,,,208.204375
Ljutomer,2023,2049.8,1355.58,4.5,772.22,838.45,29.0,87.8,197.97125000000003
Ljutomer,2024,2150.83,1390.59,3.0,1071.43,1090.89,21.0,68.1,208.204375
Log - Dragomer,2023,1925.34,1286.18,2.6,,,,,197.97125000000003
Log - Dragomer,2024,2064.88,1341.7,0.5,,,,,208.204375
Logatec,2023,2190.41,1436.16,3.2,2191.2,2387.22,49.0,66.7,197.97125000000003
Logatec,2024,2340.54,1494.83,4.1,2415.97,2481.19,35.0,68.9,208.204375
Lovrenc na Pohorju,2023,1808.74,1207.09,3.4,952.5,952.5,2.0,292.15,197.97125000000003
Lovrenc na Pohorju,2024,1993.77,1297.36,2.4,669.54,578.56,4.0,49.0,208.204375
Loška dolina,2023,1730.6,1159.77,2.3,1070.34,1279.96,3.0,45.9,197.97125000000003
Loška dolina,2024,1853.16,1203.79,3.7,1600.0,1600.0,1.0,51.2,208.204375
Loški Potok,2023,2020.13,1351.31,3.3,470.31,482.79,4.0,108.0,197.97125000000003
Loški Potok,2024,2121.97,1378.25,4.9,175.9,325.71,3.0,113.7,208.204375
Lukovica,2023,2356.88,1504.95,2.0,1759.62,1805.37,9.0,165.0,197.97125000000003
Lukovica,2024,2548.62,1589.85,0.6,2313.32,2144.42,8.0,164.14999999999998,208.204375
Luče,2023,1863.16,1255.06,1.4,980.77,981.81,3.0,104.0,197.97125000000003
Luče,2024,1942.01,1278.44,6.3,847.3,847.3,2.0,37.1,208.204375
Majšperk,2023,1881.67,1252.0,6.3,936.36,1021.44,13.0,65.0,197.97125000000003
Majšperk,2024,2118.82,1362.86,6.5,681.06,858.58,12.0,69.45,208.204375
Makole,2023,1765.56,1190.12,5.9,395.84,395.84,2.0,137.5,197.97125000000003
Makole,2024,1901.91,1249.02,6.4,633.9,672.77,6.0,97.7,208.204375
Maribor,2023,2137.67,1398.45,1.4,1775.0,1706.71,781.0,61.0,197.97125000000003
Maribor,2024,2282.45,1456.52,1.1,1895.14,1813.74,620.0,61.5,208.204375
Markovci,2023,2051.78,1343.5,3.9,1533.33,1294.34,5.0,107.3,197.97125000000003
Markovci,2024,2220.3,1417.72,12.8,1854.61,1854.61,2.0,107.3,208.204375
Medvode,2023,2134.43,1407.35,1.7,2468.5,2436.34,48.0,119.55,197.97125000000003
Medvode,2024,2268.92,1460.08,1.9,2931.6,2734.01,27.0,126.9,208.204375
Mengeš,2023,2551.02,1651.65,1.3,2788.28,2384.61,22.0,48.75,197.97125000000003
Mengeš,2024,2891.85,1820.98,1.3,2536.59,2497.92,19.0,57.7,208.204375
Metlika,2023,1891.13,1259.89,8.7,1043.48,970.08,19.0,93.8,197.97125000000003
Metlika,2024,1982.99,1286.88,6.8,779.8,815.07,13.0,79.5,208.204375
Mežica,2023,2196.48,1438.74,3.7,1069.67,1062.06,5.0,49.0,197.97125000000003
Mežica,2024,2383.13,1519.51,0.8,1209.7,1133.55,6.0,137.8,208.204375
Miklavž na Dravskem polju,2023,1770.39,1187.95,2.7,1024.65,1030.44,18.0,174.5,197.97125000000003
Miklavž na Dravskem polju,2024,1949.83,1271.87,2.8,908.57,1188.9,17.0,156.0,208.204375
Miren - Kostanjevica,2023,1780.47,1198.75,5.5,,,,,197.97125000000003
Miren - Kostanjevica,2024,1912.46,1251.46,2.0,,,,,208.204375
Mirna,2023,2016.77,1347.55,4.8,2143.76,2003.37,25.0,68.0,197.97125000000003
Mirna,2024,2151.17,1396.81,5.4,1583.47,1451.77,9.0,79.8,208.204375
Mirna Peč,2023,1875.56,1262.68,15.9,,,,,197.97125000000003
Mirna Peč,2024,1994.76,1306.78,8.7,1446.14,1742.95,4.0,86.4,208.204375
Mislinja,2023,1673.9,1130.93,4.4,368.05,368.05,2.0,129.5,197.97125000000003
Mislinja,2024,1751.81,1148.57,2.9,705.86,705.86,2.0,41.35,208.204375
Mokronog - Trebelno,2023,1854.74,1253.93,7.7,,,,,197.97125000000003
Mokronog - Trebelno,2024,1912.99,1259.8,5.8,,,,,208.204375
Moravske Toplice,2023,1838.35,1241.32,6.0,1018.63,1238.53,21.0,69.0,197.97125000000003
Moravske Toplice,2024,1946.59,1279.98,9.7,1668.82,1551.25,14.0,47.3,208.204375
Moravče,2023,1834.4,1233.67,2.9,1528.38,1437.41,11.0,156.0,197.97125000000003
Moravče,2024,1983.07,1293.91,1.8,1204.16,1390.63,7.0,116.0,208.204375
Mozirje,2023,1911.22,1266.75,5.7,1458.33,1416.8,13.0,66.0,197.97125000000003
Mozirje,2024,2031.14,1314.8,5.5,1263.16,1331.12,9.0,132.8,208.204375
